騒然とする	そうぜんとする	시끄럽다
垣根	かきね	"울타리, (비유적으로) 장벽"
架空	かくう	가공
各種	かくしゅ	각종
駆ける	かける	"달리다, 뛰다"
火災	かさい	화재
稼ぐ	かせぐ	(돈을) 벌다
花壇	かだん	화단
頑丈	がんじょう	튼튼함
監督	かんとく	감독
企業	きぎょう	기업
戯曲	ぎきょく	희곡
既婚者	きこんしゃ	기혼자
厳しい	きびしい	"엄하다, 심하다"
寄附	きふ	기부
脚本	きゃくほん	"각본, 대본"
拒否	きょひ	거부
吟味	ぎんみ	"음미, 검토, 잘 조사하여 고름"
崩す	くずす	"무너뜨리다, 흩뜨리다"
工夫	くふう	"궁리, 고안"
詳しい	くわしい	"상세하다, 자세하다"
経緯	けいい	경위
欠陥	けっかん	결함
賢明な	けんめいな	현명한
行為	こうい	행위
香辛料	こうしんりょう	향신료
強盗	ごうとう	강도
考慮	こうりょ	고려
快い	こころよい	"기분이 좋다, 상쾌하다"
小銭	こぜに	잔돈
献立	こんだて	"식단, 메뉴"
遮る	さえぎる	"가로막다, 차단하다"
裂く	さく	"찢다, 가르다"
削減	さくげん	삭감
避ける	さける	피하다
寂しい	さびしい	쓸쓸하다
色彩	しきさい	"① 색채 ② 특색, 경향"
自己	じこ	자기
姿勢	しせい	자세
施設	しせつ	시설
慕う	したう	"그리워하다, 연모하다"
実費	じっぴ	실비
執筆	しっぴつ	집필
芝居	しばい	"연극, 연기"
斜面	しゃめん	경사면
収益	しゅうえき	수익
終始	しゅうし	"시종, 줄곧, 내내"
柔軟な	じゅうなんな	유연한
祝賀会	しゅくがかい	축하 모임
修行	しゅぎょう	"수행, 불도를 닦음"
首相	しゅしょう	수상
奨励	しょうれい	장려
人材	じんざい	인재
真珠	しんじゅ	진주
迅速な	じんそくな	신속한
慎重な	しんちょうな	신중한
辛抱	しんぼう	"참음, 인내"
勧める	すすめる	권하다
澄む	すむ	"맑다, 맑아지다"
盛大な	せいだいな	성대한
是正	ぜせい	시정
折衷	せっちゅう	절충
迫る	せまる	① (시각) 다가오다 ② (상태) 직면하다
添える	そえる	"첨부하다, 곁들이다"
素材	そざい	소재
阻止	そし	저지
訴訟	そしょう	소송
措置	そち	"조치, 조처"
率先	そっせん	솔선
妥協	だきょう	타협
漂う	ただよう	"떠돌다, 감돌다"
脱する	だっする	벗어나다
中旬	ちゅうじゅん	중순
彫刻	ちょうこく	조각
徴収	ちょうしゅう	징수
沈黙	ちんもく	침묵
尽くす	つくす	"다하다, 애쓰다"
償い	つぐない	"보상, 속죄"
努めて	つとめて	"애써, 되도록"
募る	つのる	① 모집하다 ② 점점 심해지다
邸宅	ていたく	저택
哲也	てつや	철야
転換	てんかん	전환
典型	てんけい	전형
陶器	とうき	"도기, 도자기"
隣	となり	이웃
問屋	とんや	도매상
苗	なえ	모종
眺める	ながめる	"바라보다, 멀리보다"
嘆く	なげく	탄식하다
倣う	ならう	"모방하다, 따르다"
認識	にんしき	인식
縫う	ぬう	꿰매다
臨む	のぞむ	"임하다, 당면하다"
把握	はあく	파악
端	はし	"끝, 가장자리"
鉢	はち	"화분, 사발"
華やかな	はなやかな	화려한
浜辺	はまべ	바닷가
反射	はんしゃ	반사
悲惨な	ひさんな	비참한
人影	ひとかげ	"사람의 그림자, 인적"
人柄	ひとがら	인품
人質	ひとじち	인질
侮辱	ぶじょく	모욕
再び	ふたたび	"재차, 다시"
復興	ふっこう	부흥
赴任	ふにん	부임
腐敗	ふはい	부패
不平等	ふびょうどう	불평등
踏み場	ふみば	발 디딜 곳
閉鎖	へいさ	폐쇄
別荘	べっそう	별장
返済	へんさい	"반제, (빚을) 갚음"
奉仕	ほうし	봉사
飽和	ほうわ	포화
朗らかな	ほがらかな	명랑한
墓地	ぼち	묘지
滅ぶ	ほろぶ	"멸망하다, 쇠퇴하다"
本場	ほんば	본고장
賄う	まかなう	"조달하다, 마련하다"
紛らわしい	まぎらわしい	헷갈리기 쉽다
無言	むごん	"무언, 말이 없음"
巡る	めぐる	"둘러싸다, 돌다, 돌아다니다"
催す	もよおす	"개최하다, 열다"
融通	ゆうずう	① (돈의) 융통 ② 융통성
夕闇	ゆうやみ	"땅거미, 황혼"
幽霊	ゆうれい	유령
寮	りょう	기숙사
類似	るいじ	"유사, 비슷함"
連日	れんじつ	"연일, 매일"
廊下	ろうか	복도
老衰	ろうすい	노쇠
枠内	わくない	"테두리 안, 범위 내"
自立	じりつ	자립
還元	かんげん	환원
どんよりと		잔뜩
ネック		걸림돌 (이 되다)
発散	はっさん	발산
紛らわしい	まぎらわしい	혼동하기 쉽다
行き届く	ゆきとどく	① 자상하다 ② (청소 등이) 빈틈 없다
快挙	かいきょ	쾌거
助長	じょちょう	(혼란 등을) 조장
見返り	みかえり	"대가, 보상"
結成	けっせい	결성
手配	てはい	"① 수배 ② (출장 등의) 준비, 절차"
つくづく		절실히
ほぐれる		(긴장 등이) 풀리다
軽快な	けいかいな	경쾌한
サイクル		사이클
仲裁	ちゅうさい	중재
しわざ		"짓, 소행"
発覚	はっかく	발각
すべすべ		매끈매끈
かみ合う	かみあう	"맞물리다, (의견 등이) 서로 맞다"
保護	ほご	보호
忠実に	ちゅうじつに	충실히
すくう		"떠내다, 건져 올리다"
念願	ねんがん	염원
ピント		"핀트, 초점"
食い込む	くいこむ	"파고들다, 차지하다"
てっきり		틀림없이
存続	そんぞく	존속
派	は	"파, 파벌"
熟知	じゅくち	숙지
風習	ふうしゅう	풍습
もどかしい		"애가 타다, 안타깝다"
めきめき		눈에 띄게
こじれる		"복잡해지다, 뒤틀리다"
却下	きゃっか	"각하, 기각"
旺盛	おうせい	왕성
目先	めさき	"눈앞, 현재, 당장"
施す	ほどこす	"행하다, 가공(장식)하다"
余波	よは	여파
担う	になう	짊어지다
ぎくしゃくする		"(관계가) 서먹서먹하다, 껄끄럽다"
クレーム		"클레임, 불만"
壮大な	そうだいな	장대한
経緯	けいい	경위
みっちり		착실히
撤去	てっきょ	철거
危ぶまれる	あやぶまれる	의심스럽다
うずうずする		"(몸이) 근질근질하다, 좀이 쑤시다"
センサー		센서
心地よい	ここちよい	기분이 좋다
従事	じゅうじ	종사
にじむ		번지다
禁物	きんもつ	금물
ひしひしと		절실히
表明	ひょうめい	표명
精力的に	せいりょくてきに	정력적으로
気掛かり	きがかり	"걱정, 마음에 걸림"
推移	すいい	추이
ずっしり		무거운 모양
歴然	れきぜん	"(차이, 증거 등이) 분명함, 뚜렷함"
在庫	ざいこ	재고
リスク		"리스크, 위험"
堅実な	けんじつな	건실한
遮断	しゃだん	차단
がらりと		싹 (갑자기 변하는 모양)
なだめる		달래다
言及	げんきゅう	언급
解除	かいじょ	해제
レイアウト		레이아웃
起用	きよう	기용
駆けつける	かけつける	급히 달려가다
多角的な	たかくてきな	다각적인
盛大な	せいだいな	성대한
せかせかと		부산하게
一環	いっかん	일환
コンスタントに		꾸준히
よみがえる		되살아나다
たたえる		"칭찬하다, 기리다"
非	ひ	잘못
もっぱら		오로지
シェア		"점유율, 지분"
打診	だしん	타진
経歴	けいれき	경력
はじく		"튕기다, 튀기다"
逸脱	いつだつ	"일탈, 벗어남"
いとも		아주
まちまち		"제각각, 가지각색"
教訓	きょうくん	교훈
センス		센스
流出	りゅうしゅつ	유출
頻繫に	ひんぱんに	빈번하게
切り出す	きりだす	"꺼내다, 시작하다"
へとへと		지쳐서 힘이 없는 모양
基盤	きばん	기반
見かける	みかける	"언뜻 보다, 만나다"
すんなり		일이 저항 없이 잘 되는 모양
一掃	いっそう	"일소, 남김없이 제거함"
染みる	しみる	배다
愛着	あいちゃく	애착
ノウハウ		노하우
稼働	かどう	가동
すさまじい		굉장한
直面	ちょくめん	직면
しいと		굳이
くよくよ		끙끙
該当	がいとう	해당
紛れる	まぎれる	뒤섞이다
合意	ごうい	합의
メディア		"미디어, 매체"
強制	きょうせい	"강제, 강요"
おおらかな		대범한
幅広い	はばひろい	폭넓은
起伏	きふく	기복
取り戻す	とりもどす	되찾다
支障	ししょう	지장
おびただしい		엄청난
平行線をたどる	へいこうせんをたどる	"평행선을 걷다, 의견일치를 못보다"
てきぱき		척척
ウエイト		"무게, 중점"
予断	よだん	"예측, 예단"
可決	かけつ	가결
心細い	こころぼそい	불안한
食い止める	くいとめる	저지하다
ノルマ		할당량
異色	いしょく	이색
揺らぐ	ゆらぐ	"흔들리다, 동요하다"
駆使する	くしする	구사하다
立て替える	たてかえる	(비용을) 대신 치르다
一任する	いちにんする	일임하다
むしょうに		몹시
強硬に	きょうこうに	강경하게
荷	に	"짐, 책임"
障る	さわる	거슬리다
じめじめする		눅눅하다
念頭	ねんとう	염두
とりわけ		특히
そわそわ		안절부절
腕前	うでまえ	솜씨
ためらう		주저하다
ハードル		"기준, 허들"
大筋	おおすじ	"대강, 대략, 요점"
版	ぱん	"판, 인쇄판"
究明する	きゅうめいする	규명하다
急遽	きゅうきょ	갑작스럽게
言い張る	いいはる	우기다
寄与する	きよする	기여하다
人出	ひとで	인파
和らぐ	やわらぐ	누그러지다
リストアップする		열거하다
まみれ		투성이
弾む	はずむ	활기를 띠다
実情	じつじょう	실정
逸材	いつざい	(뛰어난) 인재
不備がある	ふびがある	"준비가 되지 않았다, 갖추어지지 않았다"
修復	しゅうふく	"복원, 수복"
強み	つよみ	"강점, 장점"
猛反対	もうはんたい	맹반대
無謀な	むぼうな	무모한
会心の	かいしんの	"회심의, 마음에 드는"
ニュアンス		뉘앙스
並行して	へいこうして	나란히
抜粋	ばっすい	발췌
ストック		재고
完結する	かんけつする	완결되다
フォローする		"지원하다, 보조하다"
本音	ほんね	본심
やんわり		완곡하게
当	とう	"당, 저희"
