合図	あいず	"(눈짓, 몸짓, 소리) 신호"
示す	しめす	"가리키다, 보이다, 나타내다"
知り合う	しりあう	서로 알게 되다
～者	～しゃ	~자
自由	じゆう	자유
週刊誌	しゅうかんし	주간지
就職	しゅうしょく	취직
渋滞	じゅうたい	"정체, 밀림"
重大	じゅうだい	중대함
集中	しゅうちゅう	집중
修理	しゅうり	수리
縮小	しゅくしょう	축소
手術	しゅじゅつ	수술
主張	しゅちょう	주장
出勤	しゅっきん	출근
出張	しゅっちょう	출장
首都	しゅと	수도
主要な	しゅような	주요한
種類	しゅるい	종류
順番	じゅんばん	"순번, 차례"
商業	しょうぎょう	상업
正直	しょうじき	정직함
乗車	じょうしゃ	승차
冗談	じょうだん	농담
消費	しょうひ	소비
商品	しょうひん	상품
上品な	じょうひんな	고상한
情報	じょうほう	정보
食器	しょっき	식기
信じる	しんじる	믿다
申請	しんせい	신청
新鮮	しんせん	신선함
身長	しんちょう	"신장, 키"
進歩	しんぽ	진보
ずいぶん		"꽤, 상당히"
頭痛	ずつう	두통
性格	せいかく	성격
制限	せいげん	제한
税金	ぜいきん	세금
清潔な	せいけつな	청결한
正常な	せいじょうな	"정상적인, 정상인"
成績	せいせき	성적
制服	せいふく	"제복, 교복"
整理	せいり	정리
席	せき	자리
積極的な	せっきょくてきな	적극적인
セット		"조절, 세트"
線	せん	선
全～	ぜん～	전~
前後	ぜんご	전후
選手	せんしゅ	선수
専門家	せんもんか	전문가
想像	そうぞう	상상
早退	そうたい	조퇴
相談	そうだん	"상담, 상의"
底	そこ	"바닥, 속"
育てる	そだてる	"키우다, 기르다"
そっくり		꼭 닮음
卒業	そつぎょう	졸업
そっと		살짝
そろそろ		이제 슬슬
退院	たいいん	퇴원
大会	たいかい	대회
代金	だいきん	대금
滞在	たいざい	"체재, 체류"
代表的な	だいひょうてきな	대표적인
大量	たいりょう	대량
体力	たいりょく	체력
確かに	たしかに	확실히
確かめる	たしかめる	확인하다
助ける	たすける	"돕다, 살리다, 구조하다"
戦う	たたかう	"싸우다, 전투하다"
畳む	たたむ	"접다, 개다"
経つ	たつ	"(시간, 세월이) 지나다"
他人	たにん	타인
たまる		쌓이다
ためる		(돈을) 모으다
頼る	たよる	의지하다
だるい		"나른하다, 지루하다"
チャレンジ		"도전, 챌린지"
中古	ちゅうこ	중고
調子	ちょうし	"상태, 컨디션"
中旬	ちゅうじゅん	중순
単語	たんご	단어
違う	ちがう	다르다
地球	ちきゅう	지구
駐車	ちゅうしゃ	주차
昼食	ちゅうしょく	"중식, 점심 식사"
調査	ちょうさ	조사
朝食	ちょうしょく	"조식, 아침 식사"
貯金	ちょきん	저금
直接	ちょくせつ	직접
通勤	つうきん	통근
通知	つうち	통지
通訳	つうやく	통역
疲れ	つかれ	피로
疲れる	つかれる	피곤하다
伝える	つたえる	전하다
伝わる	つたわる	"전해지다, 알려지다"
包む	つつむ	"싸다, 포장하다"
続き	つづき	"계속, 연결"
勤める	つとめる	근무하다
詰める	つめる	채워 넣다
到着	とうちゃく	도착
通り過ぎる	とおりすぎる	"지나가다, 통과하다"
得意な	とくいな	"자신이 있는, 잘하는"
伝言	でんごん	전언
停電	ていでん	정전
テーマ		테마
デザイン		디자인
動作	どうさ	동작
当日	とうじつ	당일
登場	とうじょう	등장
どきどき		"두근두근, 울렁울렁"
独身	どくしん	독신
特長	とくちょう	특장점
独立	どくりつ	독립
溶ける	とける	녹다
閉じる	とじる	"닫다, (눈을) 감다"
突然	とつぜん	돌연
怒鳴る	どなる	"고함치다, 호통치다"
飛ぶ	とぶ	날다
泊まる	とまる	"묵다, 숙박하다"
取り消す	とりけす	취소하다
努力	どりょく	노력
内緒	ないしょ	"비밀, 은밀"
内容	ないよう	내용
流れる	ながれる	흐르다
泣く	なく	울다
慰める	なぐさめる	"위로하다, 달래다"
投げる	なげる	던지다
なだらか		완만함
懐かしい	なつかしい	그립다
涙	なみだ	눈물
波	なみ	"파도, 물결"
なるべく		"가능한 한, 되도록"
似合う	にあう	"어울리다, 잘 맞다"
握る	にぎる	"쥐다, 장악하다"
逃げる	にげる	"도망치다, 달아나다"
荷物	にもつ	"짐, 화물"
根	ね	(식물) 뿌리
願う	ねがう	"바라다, 원하다"
熱心な	ねっしんな	열심인
眠る	ねむる	잠자다
農業	のうぎょう	농업
ノック		노크
延ばす	のばす	"연기하다, 연장하다"
葉	は	"잎, 잎사귀"
歯	は	"이, 이빨"
～倍	～ばい	~배
配達	はいたつ	배달
生える	はえる	"(풀, 이, 머리 등이) 나다"
測る	はかる	"재다, 달다"
バケツ		양동이
発見	はっけん	발견
発生	はっせい	발생
発展	はってん	발전
発表	はっぴょう	발표
話しかける	はなしかける	말을 걸다
離す	はなす	"떼다, 간격을 벌리다"
速く	はやく	빨리
早めに	はやめに	"빨리, 일찌감치"
払う	はらう	"내다, 지불하다"
半日	はんにち	"반일, 한나절"
パンプレット		"팜플렛, 소책자"
冷える	ひえる	"차가워지다, 식다"
比較	ひかく	비교
引き受ける	ひきうける	"(일, 역할을) 떠맡다"
低い	ひくい	낮다
ぴったり		딱 들어 맞음
表面	ひょうめん	표면
～秒	～びょう	~초
ヒント		힌트
不安	ふあん	불안
夫婦	ふうふ	부부
深い	ふかい	깊다
拭く	ふく	닦다
複雑な	ふくざつな	복잡하다
複習	ふくしゅう	복습
複数	ふくすう	복수
防ぐ	ふせぐ	"방어하다, 막다"
普通	ふつう	"보통, 대개"
物価	ぶっか	물가
打付ける	ぶつける	"부딪치다, 맞부딪치다"
沸騰	ふっとう	"끓어오름, 비등"
部分	ぶぶん	부분
不満	ふまん	불만
ふらふら		"비틀비틀, 휘청휘청"
ぶらぶら		"어슬렁어슬렁, 빈둥빈둥"
振る	ふる	흔들다
文章	ぶんしょう	문장
分類	ぶんるい	분휴
平均	へいきん	평균
平日	へいじつ	평일
別々	べつべつ	"따로따로, 각각"
ぺらぺら		"줄줄, 술술"
変化	へんか	변화
方角	ほうがく	"방위, 방향"
方向	ほうこう	방향
報告	ほうこく	보고
方法	ほうほう	방법
法律	ほうりつ	법률
訪問	ほうもん	방문
ほえる		짖다
募集	ぼしゅう	모집
干す	ほす	말리다
翻訳	ほんやく	번역
曲げる	まげる	"굽히다, 구부리다"
交ざる	まざる	섞이다
貧しい	まずしい	가난하다
混ぜる	まぜる	섞다
待ち合わせる	まちあわせ	만나기로 하다
マナー		매너
豆	まめ	콩
守る	まもる	"지키다, 보호하다"
迷う	まよう	"망설이다, (길을) 헤매다"
丸い	まるい	둥글다
回す	まわす	"돌리다, 회전시키다"
満員	まんいん	만원
満足	まんぞく	만족
見送る	みおくる	배웅하다
短い	みじかい	짧다
湖	みずうみ	호수
緑	みどり	녹색
身につける	みにつける	"익히다, 습득하다"
未来	みらい	미래
～向き	～むき	~향
剥く	むく	"벗기다, 까다"
結ぶ	むすぶ	"잇다, 매다, 묶다"
命令	めいれい	명령
面倒くさい	めんどうくさい	귀찮다
申込書	もうしこみしょ	신청서
燃える	もえる	타다
申し込み	もうしこみ	신청
目的	もくてき	목적
目標	もくひょう	목표
もったいない		아깝다
物語	ものがたり	이야기
文句	もんく	"불만, 불평"
